coin,address,n_in,total_in,total_in_usd,n_out,total_out,total_out_usd,first_active,last_active
BTC,1PwLHDxEKz8vfEqZZi78fuuvNfMcKBG3Tw,18,0.00749422,642.58,18,0.00749422,641.71,2024-11-19,2025-04-13
BTC,1Ki82Q1sAqGn2sxzRxN2cEzxKjqYb9guvF,3,0.00126184,124.8,3,0.00126184,125.82,2025-01-15,2025-02-21
BTC,1QCLRix1zBMoKVJMwncLRTWpv33emZx3j4,95,0.1144483,10007.17,95,0.1144483,10002.9,2024-10-05,2025-05-13
BTC,1LmFEV1A1PC3UYhPPVpscnqYFsmDuaCZAA,11,0.00368505,329.15,11,0.00368505,324.25,2024-12-11,2025-04-03
BTC,1PYXNKPTinsYwF9p1QEAXcfNkbmNd1mJbp,6,0.00423824,405.66,6,0.00423824,401.91,2024-11-27,2025-03-19
BTC,16o1ddUFuxzNfX7uWnDauzbEmytndSw1bs,1,0.0008408,80.44,1,0.0008408,82.65,2025-02-19,2025-02-21
BTC,1Mx5wznuwKnDSJ5VDMwoZVNZJmkdEdtGXX,122,0.02284858,1942.65,122,0.02284858,1943.55,2024-10-07,2025-03-04
BTC,1K1JNADhiCGwYjVmQ3SyXBFephKX2JBQfy,1,0.00048491,46.86,1,0.00048491,47.67,2025-02-20,2025-02-21
BTC,18uxsR6jKqRB42G2hWufouBTqQsEd8kxe2,70,0.03144937,2680.14,70,0.03144937,2690.25,2024-10-05,2025-05-13
BTC,1FSvXEf5Zvac4jaToxgJn9LG99pzo71CVU,5,0.00138845,140.88,5,0.00138845,141.61,2025-01-24,2025-02-21
BTC,13WyrmhkmaEXtjESTrzHr3nodhwrVsfsBp,35,0.010437,948.4,35,0.010437,946.78,2024-11-23,2025-05-10
BTC,1KhKBNzBxr9QVaFcdbaZZZi5ji95pS5XdB,1,8.141e-05,8.0,1,8.141e-05,8.0,2025-02-21,2025-02-21
BTC,13AtLtphpHavpHknhZSYVnYYyRwtK82nBt,1,0.00076166,74.87,1,0.00076166,74.87,2025-02-21,2025-02-21
BTC,16Zupbmmp4jDejFtBQ41ztP6srHy9ePUx5,30,0.01094432,1010.09,30,0.01094432,1006.46,2024-10-06,2025-04-29
BTC,1NZggBvNt7mn2GdD28EYgYKKj86CCw7XAc,12,0.00515914,419.69,12,0.00515914,420.93,2024-10-04,2025-02-21
BTC,17SJiNsYup7EijEsBh95yKpbizP6A5wHxW,21,0.01120329,922.88,21,0.01120329,914.59,2024-10-09,2025-03-11
BTC,1H6YumLQGaCy6RnZY5tN3mnM1oyUerioQt,6,0.00264288,261.59,6,0.00264288,252.96,2025-01-23,2025-03-14
BTC,1HUPrYEqhcY8UYnoU6yUjbfatNcrVJ76bo,20,0.01050265,983.76,20,0.01050265,974.51,2025-01-23,2025-03-19
