date,txid,direction,counterparty,amount_btc,amount_usd,fee_btc,fee_usd
2022-01-22,ceb82f016f0a218ca16971fd05ed630a97724b9e735878f32ce92a6f5c9fc29a,in,1L8RC6gTBMpjkLfXMtbVydHPqLYBHNYiPw,0.00027617,10.07,0.0,0.0
2022-01-27,39fd82f533c3cba0f327a582397876e786c5e47d112d25207f634eee19b41a61,in,3J6VsKvbs3cKqat83e8h1JEZwooWDAhf19,0.00035363,13.02,0.0,0.0
2022-01-27,6e45ea8df98b7ad9cdc1d5536e6a6b3284e4da6ca3a2f9d7390b127f5944582d,in,bc1qku2t5jhdq7rh27gs9ae7cldg9dcqh5g0nnvk98,0.001136,41.81,0.0,0.0
2022-01-28,4c59088962bbcf18b7b759b11888c53ccd04146bf92c8cc6cae9c73f1f71b321,out,124m6GJNsYv8Kji8hXssqrdFnJFLLxBveD,0.00203029,75.45,6.36e-06,0.24
2022-01-28,8e257bf6534afa4d97b5a9900a4b37a0bac9463695062928ea331169d693639e,in,33Qm9J6xQwcvoJeeL3VUTE2bfF4Cq7BoHx;34krK3y9o8gvLhWNC9M9fQpZGGxedFd361;37auk4sRn2UDpM5R4tvWAXDeEdcRZvwK6M;39DRPgY94gg573csFwZXZYRAXnMin8DSZo;39nz1b3bCDGxspogHyFaQvP5vZo9QGFmgc;3A37JeQaBuFpZtUvPGFhHjeWmhivxDAD9r;3BHvyqreqSyVPuEaHBUx1PMy9MUToscNfM;3CkrwWFGaGvSJfwwj96JjpJUbCPPfews99;3HyFfbcMqfEBUYsWQTxc29hpYRPeduS1u3;3JAWGwB6WBcNb7TYcpc52DP1CC1ZdjMe4N;3JCoHPdkDfw8pSL8HQaaYji1A6AxpwLs5B;3JDFmmuqy821kB55nLsgJF1HpNLTWUsDcN;3JEr6Y3SvSRHwZquBR31DN55x995GvU7Vm;3MiRgyL5jyGLuSM3tovMYYSsVv6JBjK6Wr;3MsPai4CUt,0.00027085,10.06,0.0,0.0
2022-01-29,eab8d6424548801b5478987bd3bbd5fce012d1aed6a4736322a4e695ac6b0b6f,in,1CsZdiD2bgZDNjhg6aHVvMKJvTDS9ouK8o,2.617e-05,0.99,0.0,0.0
2022-01-30,76d1790dc50e421db60ce36d1cb24156bb3039e933cf979f7dffbd1841bb748e,in,3D4owEFR3WhLD8EAHpoGqKWyHuDZjGKrR1,0.00023706,9.05,0.0,0.0
2022-01-30,ac1d7697bd5f658649deb908b4da643fce7fa90b33ba750cd9c58879fa5880a2,in,34Zazitp7sbgaVxAQLW7tiPv9jaqieDXgx;34iBNa9wWFXVeMQxRN5rBMsBw2CWaBXFGD;38e9bzdkJTjMUeaNksumT5H6FPRQBUmKQW;3C6Wf85TK8Kj4Toy8ZXErLYWzLgHPu8kHN;3DkdHumiJqoKQgjYtVngHU91PastXeVDBu;3JHkcJNMZUaTKAvfVzbsRvRMGKNPK8YXEB;3Jh4UY3pin42gsayTDS3GCr7GDraRJ5fUn;3QSkB85G1H76bSwQzruzNEPaoL3uE4PFCi,0.00297904,113.7,0.0,0.0
2022-01-30,fbacbe6f4df80033de4f0d9b1d4c76f99b095c53538b9af50696d8dcc3288457,in,3Ao2XAV5gNGGWEm6oHqFN997TmhFcaD8Jq;3Ca537VX1HufiVRfKVogWcD85RV3iuFs53;3HQw1tNbMZym6nHFGgF2CvTiW196ubuu7w;3JdygtrMwH44trgzPzKrhpLx72F5FAYMt4,0.00223304,85.23,0.0,0.0
2022-01-31,0b9b4b51ec4e176de9b513c4dc50feb28dfb11824332f19999e9257d108707ac,in,bc1qy0hqrhm8pp64shsnueraap2gfx2v02e86hfqp8,0.00037792,14.32,0.0,0.0
2022-01-31,0d90b608a237d56b015561562d077b525092dfd87349c76a07b40180c6f307a9,in,bc1qpuqs7frnwknvw02vunzz7apg3qc8twje8p7ey2,0.00079705,30.19,0.0,0.0
2022-01-31,192cee8119aefb871d68c2f8f1d2d1508afa1f2c253afe4b6c232ad002814b28,in,bc1q83zqf6n8ca7dz5que8v9es9rtanxnmjgk3dnrn,0.00064794,24.55,0.0,0.0
