address,total_in,total_in_usd,total_out,total_out_usd
1B5i4D7hGn8WTBYAzCUKNXEKEk8pNECDiY,0.26605599,20594.5,0.26605599,20690.93
1EzzG1bDwHX8DzoPumkRz1hvPhryDjWXna,0.21485482,18214.25,0.21485482,18341.7
1QCLRix1zBMoKVJMwncLRTWpv33emZx3j4,0.1144483,10007.17,0.1144483,10002.9
1MwqViNY54vLna7dQDp4QeBgos7qqDAos,0.05033976,4775.79,0.05033976,4792.13
1CdThPF4Af5MQBnjX5QW9gm6KZz3DKBhUw,0.05269369,4186.06,0.05269369,4205.29
1L8u5LisLwJanupibUstXUxfZxB378dTc9,0.04332233,4136.28,0.04332233,4153.97
1GwLq62WdjqaBpXeaSPc1p3WQuRVsbo4XF,0.04468139,4055.07,0.04468139,4100.57
1CxLngwhxyzqbydduWwZuiTNtCpancmvh8,0.03996,3552.7,0.03996,3562.32
1QBUWX8s5EpNGXogWhh81hb6Wcbb4zwkWX,0.0420388,3212.85,0.0420388,3246.36
1EJbf3C7cq4j7PqfgLpjtAUSyzSHnq9EGY,0.031354,3129.03,0.031354,3083.86
1QL3bCzLUUkqrHMcMS42r3H1d1btXgA5jU,0.0381,2925.26,0.0381,2940.56
1JPSXPwxwkyx9nwDmnXxo3LRzqw2wGt5KB,0.04360501,2841.24,0.04360501,2839.7
1LrJGhVpeU9oUBQ2skfu1F4MfPPojCb9za,0.03440545,2740.94,0.03440545,2713.58
18uxsR6jKqRB42G2hWufouBTqQsEd8kxe2,0.03144937,2680.14,0.03144937,2690.25
1FZUGPHUqmQgJLxHg5ExrnxBpiMf1qfqmq,0.02915853,2513.12,0.02915853,2519.11
1DB9wpvLzVMqK3ZYH2JXGjUC1PF41p1adY,0.02465347,2450.83,0.02465347,2476.88
155aP2WLDUMjS7TSCsTrJvAaqU8a2HzYt2,0.02591595,2447.07,0.02591595,2452.42
1NzBpVwPVHqxmF6aHLaHY3RmgFHHkWq6XB,0.03706792,2332.81,0.03706792,2328.67
1JeHHtN65HysKochUB1BMd4Y6dztF3XPhp,0.02447216,2098.84,0.02447216,2111.7
1PsteHpDgHskC5LiV7UkgLNeW2QAyreVgo,0.02340293,2063.56,0.02340293,2058.28
19azmXoLWUobTn4X9UW4iJBaThq1vc1j5x,0.02542453,2028.47,0.02542453,2039.2
19H9N3hBouUxdVeiU9WjzSWrLdAkWoXpb9,0.0258189,2028.14,0.0258189,2018.93
1Mx5wznuwKnDSJ5VDMwoZVNZJmkdEdtGXX,0.02284858,1942.65,0.02284858,1943.55
1GbFu6uVwKgxahHcopfewfyZxfMyxnjYPk,0.01965782,1894.45,0.01965782,1881.99
1NMG91BN3mswsHEF5VZkSLnAoRwPZJxYs8,0.02369527,1771.87,0.02369527,1788.38
13dFVxV4KWmXvzJXSAFHfHxy6Hn12opfML,0.02633226,1639.72,0.02633226,1667.49
13BTK6GfgYQG5xSm6B7xAKFWbFQGv7FFJY,0.01816952,1524.7,0.01816952,1535.24
1wnAe1GS1UPrugf6J8BcTxSnPQj2MebPP,0.0165636,1483.44,0.0165636,1497.41
1FvU7NWsc33kTfxKkNXmBKUr7SpqwihYj8,0.01644293,1484.55,0.01644293,1489.22
19SdRYCmAjDGRkCmBLnpn6xWR81BfUjrBz,0.02077327,1463.2,0.02077327,1476.85
12unxyNzPwv2t24RVDJSj14yCnB9tjnTQ9,0.0173906,1456.76,0.0173906,1466.12
1GJTLeHc6hbWm3wm4gm2bUDPD8bC4sGrdh,0.02346472,1466.63,0.02346472,1463.75
1BW8j52DGGpcAsLe1PthrdPjmu5ftgtWb9,0.01751951,1428.03,0.01751951,1435.25
19SZR9wKhxNP5o9Bhpr4ZtM7n7bxUGKZqp,0.01582157,1409.06,0.01582157,1412.91
1DvK7VYfPCyZULXLAyQTYaRpGmuXkirbmg,0.01533937,1400.38,0.01533937,1398.58
112cHhGmoEiTT7t1dMwtEtWTZb4FW27Bqj,0.02081837,1396.2,0.02081837,1395.59
1AvGm2w2VkgFWmGJ4FMso7tf2d2iNXTPkk,0.01481847,1384.82,0.01481847,1388.41
