date,txid,direction,counterparty,amount_btc,amount_usd,fee_btc,fee_usd
2024-10-04,00d70d67c71328885174ca541e52c20f23fd2413c12916a0871a389bc85cd8e6,in,bc1q460dtap7qslemlete3yrhevawmud7axfrgw28a;bc1qg8vxz450vykxu2cvmy8t8208hg678x0dwhmug2,0.00167059,101.49,0.0,0.0
2024-10-04,1bb59083f0922056c3ac60883a1eb570778bc6d48c6da2366218e995986fe33e,in,bc1q7qkfex6p6p7rj98z82umhdpr5qrh9qn5cy4q5q;bc1qntlzs8kvhpxp5warud0xwumhxv5ffxs60x86uk,0.00029439,17.88,0.0,0.0
2024-10-04,2f2d2fb08b98ea70021d0246f822fd02915982740b7e3610ceb2242f645aa7a4,in,bc1q70w6wyk3n544vd3txnl6vxmg6w30jcwjd8zqcn;bc1qlge4alwve8yfxwszxz7den4kf3qu7347f2wm38,0.00027044,16.43,0.0,0.0
2024-10-04,4c424cccc14f1c69329c3f82a1945068a746279add3173558b8c1600211f80ab,in,bc1q7ans94utv5sqaq8exvre39fz390zezc3dqdqv7;bc1qupqux0ft8l55x90ckhmrpjcfh9kdq3ukngkfex,0.00039526,24.01,0.0,0.0
2024-10-04,5cb701a5b08e83e799e3cb261cad7f01cb4a4b0149a293b1e97173c81ce97818,in,bc1qhtuxa2mav3es7tmzshejv222l67qkk0htdwkqs,0.00073951,44.93,0.0,0.0
2024-10-04,5fd3deb930e83508abca436007370bdd6a8942faeea756bac7edb236fb9becf2,in,bc1qaj2uz0f930u25aekj8ka5r0umqcsjzl074lmtm;bc1qu9enlnhmq562z8ggqzy6q3fhwy78td7vg4rcyp,0.00295595,179.58,0.0,0.0
2024-10-04,60291ea7eee0e3fcc818bd2a4f5d1226963985b5d45f05721642a08dead4e1ca,in,bc1q0s6rca52mjumq8fjuz4j6ka5h9jhq57esyd40r,0.00030419,18.48,0.0,0.0
2024-10-04,65e5b6474346e4a42b5562ed48a5c89baa00b71524c6ab8ebfaf5d00c3af5d2b,in,bc1qmtep6u9rmgj99vyfzw03uk7nr5ayfck934p0vg,0.00182858,111.09,0.0,0.0
2024-10-04,671b99195b33a812f88d9fd2388c51f81d4ee3f8f19d07387a6988ffdc8742bb,in,bc1q083jegyukfkl2j77kvfzqvhvfsannj0t5t2efp,0.00314572,191.11,0.0,0.0
2024-10-04,6a16d99e29c0341e6018409c478f6fd2cbb737abc5e2ac4a9a866d78c044f9b0,in,bc1qvz6ulkann47alnxgyr3wn05xegnld6vg8l5mzv,0.00120794,73.39,0.0,0.0
2024-10-04,767d5771926deb987ab9e699a8a5b69ef8ee1448f9a673d24767199bc3ff20e3,in,363qhARyC7mWNc6ptu9nsf5ZzWko6Hzxhm,0.00056955,34.6,0.0,0.0
2024-10-04,77c92c938c5aecebb5788f92426e7cb17e8061cfa6ca4db6b574a099c3359bcb,in,bc1qmq3ndm6jqjcuefdxavfyccl3mdw98ap2nd9y04;bc1qt3zgf6jdp80xh3g64sw3fh0hf3h07yuzcuqya6;bc1qv084lc6h2xjf53znqq8mhkh4sk8au7vr7r0d9t,0.00084988,51.63,0.0,0.0
2024-10-04,87398da3f5f6eafd826d6830dadec2719fb85f6e3ffc0ef679251a3d86cc4b43,in,bc1q5xas6fss7a72wf5ys4wqjk0um6p2tqj4e3kx9q;bc1qdt7mk3zuwrmw2df98yrf9emsqvsryu9y2l6rcw;bc1qw3cgwqs9uzjzuuuansuytaln7x6eswzdcry2qa,0.00058964,35.82,0.0,0.0
2024-10-04,89e25086e27421baabc67d489bd9dbd6a2bd30e1254cde668921f4c71280ec43,in,bc1q06sh69asj2pqfljxjup0lwhh05ypyw8c3lsucn,0.00024071,14.62,0.0,0.0
2024-10-04,8f7c7834aeccdb75e143ad5b8f61cb6a6525ae0279e451cfa34eab6cbfff3e5c,in,bc1q749samfge4eq2mapegeclywyv7xr9t57kqkzra,0.002,121.51,0.0,0.0
2024-10-04,90e3325c6a25ef9280ef2dcf42e01b045e661fb7e044ca34e5b8b70ad10d4232,in,bc1qfjlfu6s5d8ya7d3ucx68t6k4fy6qltuxftkfrm,0.0004811,29.23,0.0,0.0
2024-10-04,93c99940b028b4acf611ec084e7607a491ebc67af75ad7cab3cc9c9c184a8aa5,in,bc1qjslgjuyxcn5sl4c0ymr9j9vh4cf2rd53nfcq8f,0.00074632,45.34,0.0,0.0
2024-10-04,a632b7c6dabb762aa81b138f59c98a7ad953bb79640a9dbf69048360a7659b5e,in,bc1qj0wqmle959udtw6p3k0wkway6rqnpudlmqkddz;bc1qwhfaecju3fwnvlxtq449lplhn4avhmh83tsnel,0.00119768,72.76,0.0,0.0
2024-10-04,ae03b4f99805e42480a04d56eb81ca9e7b767fd1bb45897c99cf123baeeefcee,in,bc1qlejknlm0twx7hztapchhq8crpflctr0dhggvz3;bc1qrhrte8cnh3l3dm7kc98funahjs6u39ln4ccpus,0.00064181,38.99,0.0,0.0
2024-10-04,b0f06ab0cb17d6bfbe6bc4b1bc7019c4be7decb65e39650b16883bf2ee8a397f,in,bc1q3al7h2suqq2yzw2qt2r5nul02mgj52md2qaed9,0.00481322,292.42,0.0,0.0
2024-10-04,c3a9c7fe5978b5a025d401e257873ec4f72b7ef31d7d89f7dc6ad3920ec8df80,in,bc1qc6qaxqsj80r2kgstyalgk7r4aw2k390x498ng8;bc1qh5jjc4vjd508hd4uzhepxvl4tv63tltzgxh385,0.00018348,11.15,0.0,0.0
2024-10-04,ca9d905ce4a435acffe1c0c39e92a23fc82873b17e8071ce5820e1e363618e2d,in,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,0.00111042,67.46,0.0,0.0
2024-10-04,d28cc8622a87015d2991b1cb0a96db3151a3bf7dff833cc3f22207bb92914daf,in,bc1q3al7h2suqq2yzw2qt2r5nul02mgj52md2qaed9,0.0056184,341.33,0.0,0.0
2024-10-04,d5c054fca11198405bea7c16e52102113a15b7aa9d14687372454cd4380206d3,in,bc1qupz6eg2cvz7vg93vk0nqg4680xtc8sevfnhyde,0.00109584,66.58,0.0,0.0
2024-10-04,e4635a1790022d833e34e5fa35dcdbc349b6270e74bb42e0ff04ebf680f0fb10,in,3QgCAipEG5zHgkq3uusSoFFtbSMz3fdhjc,0.00089627,54.45,0.0,0.0
2024-10-04,e5be03d4d932903b739bdb1defc645d27beb73f6c4ea7a3d399ab1253f0cc416,in,bc1qk7c3adhleyse84zzhmgkcc08y5e5ejn5pmwn87,0.00160474,97.49,0.0,0.0
2024-10-04,ee0fb9dc42a5dde28887ffd4d04d9e27e05c6b7f69bfd821d7e16634b97e229f,in,bc1qyu4k7vme8659sww62e89ekqumsnl7y6w8nyaty,0.00023054,14.01,0.0,0.0
2024-10-04,faa84084a8f8a236aac3107301f11935b774fb48c126a9b55bfcd2ff5e02971b,in,bc1qycmtnayg5cafhddwz88gsufnqu20eq8s9vtzmh;bc1qzlkvcqcecfefer0aq4rc46svh02wr7hdndl2t9,0.00096119,58.39,0.0,0.0
2024-10-05,02107d5d967104f9b5418bc57604042b41a14ced23c43e117994ad4304221ee1,in,bc1qz8dwgx3zhs2q6gfcg2tqcgazx4pjkjcre6t3xr,0.00287215,178.32,0.0,0.0
2024-10-05,07a6fe05321d171a749c4d3f718792fc94b1d7714a3115ff3766c55f9d754b23,in,bc1qw868mnrnyn47l9ydnzs0l5td0kv745cgrmcyr7,0.00048438,30.07,0.0,0.0
2024-10-05,0858f013f23e1dc7d840929db32ecc6b55e52ac41a6a997771d494f07f457ccb,in,bc1qw2a7txaj4arrgz5dy87ut4kdn66yxast624u8t4r6s82naxtm63q6aqu5r,0.00104961,65.17,0.0,0.0
2024-10-05,089873cbc558854fa1df5c749e7e17ea95c4502159c0dbd011ff363e2a752199,in,bc1qtj4knrg439e4rvjudsm7r3efvty0erumscny3m,0.00063451,39.39,0.0,0.0
2024-10-05,0abd4f1c10255ab925fdb98b2b3864d261b4b0281a794beb55ba8592def23b35,in,bc1q8gxsukf8zwy75vxhhnfzpgyclkgf364e89382k0kx90w8lqy9f5qsfg8d9,0.00024593,15.27,0.0,0.0
2024-10-05,0da29e5660d9f05f58a7993b9714be8dcf17bc9ec6799b6d5d26c99b1c8b703e,in,bc1qcy6dm6ju8vahdtkqq273e0gga3lhdh4mjkxt54;bc1qgwcfng6g88ph3z9a0dvdx2rwpfaqtesht6eg6s,0.00049483,30.72,0.0,0.0
2024-10-05,0db3d0e1bcae9b7e00db1380f9ff3fa0905aff2be99ca53d9a400f720d20bfe9,in,bc1q84qvhpyzm3m2cwr3vr3l5rmyj9p4sc654p2aa9;bc1qz8fpu6d2unylvqyzddfswkfgmpm5cclvutkg9v,0.00064278,39.91,0.0,0.0
2024-10-05,172cab973c5965ce9952e2505a7e527bb65b8c7039da5a85f5b37cc8e5c2e765,in,bc1qngne2kr9enntqw283d0c490hrg4zwrlcg47pye,0.00323206,200.67,0.0,0.0
2024-10-05,17d3822bc2bc75dba934d5bce595d9362d8d8cde9828b64ae658a56cd19a0bc1,in,bc1q9hwuyylruvpsuvmc783l6q8u726fu7sat9744j,0.00169329,105.13,0.0,0.0
2024-10-05,1e2fe52650f76a3919141b76d27ddddd309c61245d63a541ab8cfb3416c38ff8,in,bc1q9t4p0rqwcak5drmjqs3j4frxpsv5ere05w0mga,0.00037042,23.0,0.0,0.0
2024-10-05,222136f8a982358a3a2e73fa2ef1b375dd95c108f95d28ad5ce49da993b2cb10,in,bc1qvefar0lvwp2e3eq3fw4j5jmvk9rrlr9gufysd3,0.00032274,20.04,0.0,0.0
2024-10-05,24b598b666ab2a9ef53fcbc0e75457178619011f6e02c0b38662ecd9bdc4d991,in,bc1q2ku5d9kknhufz3k6gc97mvd00h27vtkh5yrlaw,0.0006753,41.93,0.0,0.0
2024-10-05,24fb768c62c3629c9ca08562bfab07aa211e6652fae2aed0643eb0632dc5819f,in,bc1qvczcjcz8dqg6svxnrjp4xrhazq6utrw8lsqqna,0.00051153,31.76,0.0,0.0
2024-10-05,2642f0ed43c7742fa273a09d8f52a6fb1da3f28c6e8dea14dd3d2cf00b119a39,in,bc1q0wu0tqp2u3rtunjl0h0rsl9pvf86acy6sep63st0lp7lgg67ykzqeq89pn,0.00155323,96.43,0.0,0.0
2024-10-05,326887f7db683aee8c8ba798a97ae59a17fa0232815447fc8a1393ed81597ab9,in,bc1q9vee3ywuv0393wa3rtsashvk50t0wy6tvq3teg;bc1qhyxfp3qw9hm45ra2m7rq38kfun9hy6c9ethqx9;bc1qphwa2x87l5z6j4ee378zzzsgvj9g39qkfcy4tf,0.00225647,140.1,0.0,0.0
2024-10-05,34ebf1dd8ececd4be214f6ef462e20f685d843ed7dffed5116e9982675eab0a4,in,bc1qq904ynep5mvwpjxdlyecgeupg22dm8am6cfvgq,0.00156578,97.21,0.0,0.0
2024-10-05,35708cd86d48407685d18cd98a95c99bfcc8f11f2c4e0b768c9a22133f06f2b1,in,bc1qtkzq49uzh0nn0kd78mulalwwkme57ynnhryjs9,0.0003561,22.11,0.0,0.0
2024-10-05,366fbac2ae0ad19231e90afc4a769daa15281995b1d6300d8756a13015429d66,in,bc1qfmdj2ws7uxkc6m2chxpgk4vjj4ydjcvcwgx3p0,0.00064624,40.12,0.0,0.0
2024-10-05,374ce9d11354b28e826d71edbc145d4f828b5f65cb4765306748589aa2f34f91,in,bc1qaztv7vrkjg9ksxgykt3dd8xspy0m4699jvk2r9,0.00043798,27.19,0.0,0.0
2024-10-05,3ebe71bbf708efa6bb129f892a8f4de699408f42925728d08c7b92865d0cebb6,in,bc1qks450agz4ljtykjkdmq24snqazqqm7lqq22h6w,0.00066379,41.21,0.0,0.0
2024-10-05,40841b23dd2b5686ed9ff198ed46a70b2ac70698b676386aceb1542889651fa6,in,bc1q6pewqsdv9jjcx93dmrg40kxzdv9yyu5r32ve0p;bc1q8tzpx0jzu0wvege33syjws59uhfh8427sxx9kk,0.00028711,17.83,0.0,0.0
2024-10-05,41d15fb1621425425df00d111c42af2ee138026f10d554ec598dac479911080a,in,bc1qzm8n8ze7j9wk6fsyq38qe89s5wd5mthqrjcp0t,0.0007,43.46,0.0,0.0
