address,total_in,total_in_usd,total_out,total_out_usd
1Khx1CKub6MqEk5dGou2QrU8hPJh9FwsHV,0.03274,3622.58,0.03274,3616.77
1HtWSzK4jmRXtPznJVdxtbJGexS3WyGiSo,0.02834528,3143.36,0.02834528,3168.79
1FDssUy6zx8GSV4TXdcBS3TzBR2ym9Zzz4,0.02661397,3061.29,0.02661397,3067.58
14BA9oNrz8xPsq6YMVajh35JRHk5ndgEZR,0.02308122,2583.0,0.02308122,2583.49
1LPdz3pYoE8UyjYAUuSrcGADzeKc9mQi6p,0.01888984,2200.97,0.01778661,2066.55
1BBkGqqXKPUzDfndgZVtFTb9jQWGteT2pL,0.01999591,2311.63,0.0164522,1877.75
12NTJDRnT1ctDPQH6kZLz9yHZj8VHH8qcv,0.01468863,1631.49,0.01468863,1631.54
1AwDqX6oCigFXykGbKutiQ1PTSbCopunK6,0.01465399,1626.56,0.01364695,1510.9
1LihbUFC6oHSnGUrPggGkNYUPek3pBGeTx,0.01284802,1448.41,0.01284802,1450.47
12ktpYEDeLha5YsyKW23f9YJPfxc8kyp7T,0.01198213,1314.32,0.01198213,1330.48
15NziKjxcfBp3AaJXscMwY3o7LiPhfGx5D,0.01378926,1594.79,0.01063985,1215.66
1FksPUgVhJTzmDrHTYuCxwuJRBu7D3pwFy,0.01120247,1193.63,0.01120247,1188.69
1QCPE1jYB9N4WUYfaPpgCNHSCmnT8299j2,0.01043276,1156.16,0.01043276,1157.16
1JTPX993mKxKVMbWjCT2hszK3u2iP1CqJ7,0.01047576,1141.74,0.01047576,1145.47
1EJ8ZCNVxjFXK8rsffZ1U6DvkfngRpwcgm,0.00902919,1026.94,0.00902919,1040.73
1KB6i4U2vGjYjdMyMwMK2qvK1szb8oQ1jT,0.00920316,1021.3,0.00920316,1020.33
1KJRQ8WgW1jVPk8BddxtRudpg2k1veekyc,0.00834527,972.04,0.00834527,974.08
1248C6Ba85i3nzUDpRq9eNxNqfzLfL3Kdz,0.00869267,967.41,0.00869267,963.09
18ymmwRkqEemC7U5uzGvA7aAqHezm5r9kn,0.00794299,840.12,0.00794299,838.45
18p4UB7BchzpbFXsNgQvBghKwEjjMKJDoG,0.00783663,842.31,0.00766407,824.19
1JS9KUTutocNN5wNZo8ZTRUmT2KvecC7Qf,0.0073983,787.32,0.0073983,786.61
1LoLmw71zyKQ7wu5uh6jCWFvPoMW1jFA7L,0.00658326,772.79,0.00658326,771.49
13KWoybkQG6UwnYr3ffHd1P4XY1AAXHGmJ,0.00727669,813.37,0.00678217,757.42
13R6bQX5NeQoAPtoJhqLzyUEe6xrEcr3fJ,0.00713933,801.78,0.00666961,753.8
13JkQdo6XBR7hZ4sJEpC4uodkGKdJJN3tf,0.00648196,749.1,0.00630548,726.08
1JvwZ7SstneWoBYrFrkCSFMSHGv676ZRDt,0.00649084,717.23,0.00649084,719.79
1KJwsa6qSgELqk9E5CYM8BaoALpkPbAhRb,0.00615022,701.9,0.00615022,699.99
1B162mhsnVVYvRUAjVymsRXTny3QGDNeEM,0.00606415,700.19,0.00606415,699.34
1Jx2Z4Va2hjJ5JWEanhCvVPcKqHWUHzsYf,0.00639022,677.18,0.00639022,685.71
17P2RF6YuvDRaxQsv9AFTpMEeLuHcY5aWU,0.00641856,716.51,0.00601899,664.19
1H5nVSKiwueQGFFWJTY7V7UCxTiw8SoUYM,0.00605684,657.28,0.00605684,654.04
1FP7SB1a43cQ4i3QUUSgNTVwAycm8AheXR,0.0061954,723.0,0.00536674,639.63
16SvZNMpyjFQnBYKFeCY1VEPewdVEBQVJM,0.00570262,627.83,0.00570262,636.77
133Wuyc9XGVRAsW31xbKRBwfJNJXkvz6bH,0.00551273,626.08,0.00551273,625.72
1FqdrjAoeCF1fJYGQyzL6skfkgB5xoPon3,0.00554151,619.96,0.00554151,624.62
1Fmn4jNE3C14AykyeXp6LSvCqyCQ3TXs6W,0.00627752,696.16,0.00555932,613.43
18uMye1CvWTuQLAXnpzV3pZK2Pvd8cvkeQ,0.00539106,600.93,0.00539106,603.95
1L9YpkZrPBd4WbPPzEfn9kvZkqDyJuVtEZ,0.00554727,592.11,0.00554727,594.09
1NS7WmMtKG2xyei9ZGbPD3aae6wN6ijLaM,0.00507615,592.23,0.00507615,592.03
1LKVFxyu4D6esSEf2nZwpHj8PvJdwqNmY3,0.00550253,583.01,0.00550253,588.92
131QrVZeftfbEF8U5aV1sv2nTX1gtuNrrX,0.00598658,692.19,0.00512786,588.22
147HcCJvQbrehvTgtLZ9MSDjDh8eNmNN69,0.00507032,584.34,0.00507032,587.53
1AVtSB22R2BwHPnAzsK6TSewMTCdhGFQnW,0.00513121,572.15,0.00513121,569.89
12mALKkseAJ5SyVhdthngEqHE3L191wTG2,0.00500479,548.02,0.00500479,551.32
14zXnm4W8zhbYgwVWsWtA8Rge6Krb5XsHC,0.00462376,548.16,0.00462376,544.84
1KL35TeJRS41fN3nCA1B49YvDrQj6ixss2,0.00469045,542.67,0.00469045,542.36
1PCSoJ3Lda7iZJRUf118PgAaEeP9kiLNL7,0.00479797,538.27,0.00479797,536.28
1EqBK9zkVyaes18man5QpMUfqQxM7bNRh8,0.00497541,564.14,0.0044888,510.95
1GgA7mWrx8KKzyY3PyXBq59HuXuEWr2bhL,0.00457637,494.18,0.00457637,494.18
1HViTMZW8DFtCSRowFU6ebt2DC5BmRKUbm,0.004628,532.69,0.00412684,491.02
12WpfTtVDtCy1obJ9MkDnQgrXgqLfneWJn,0.0045655,494.39,0.0045655,489.19
1MZPqHbwUbGNJWkNMRKiSoqXUzx8Vrgaqg,0.00441202,485.61,0.00441202,485.79
1uFaCjtypDWDXKNytNij3o6NsMro18vSH,0.0044375,479.81,0.0044375,481.08
1L131JCnnPF5emjJFP2HJncdUUAHAgtsLU,0.00435637,475.8,0.00435637,478.39
1Mdie6WEo6WiTRc3CNoPaFfdeLBAdSPEnq,0.00426044,470.04,0.00426044,474.8
19LRVmZQXK7w28izuAtPeNV6pYHBDEEJiD,0.00429016,476.0,0.00429016,474.5
18R1ReuXWDbwKTFg1knjab8urretT9BZT3,0.00441382,473.82,0.00441382,473.03
1e2eUDys5Sukfh1NMRdwyB3fUH1KkH6AW,0.00411998,460.94,0.00411998,466.27
1PBWpv6zEKq1fM4YqkEAAiYKEQdjzf152t,0.00390938,444.96,0.00390938,460.68
1NmwjXXSyyETSp2bwFtA4g8iG65e3wcqht,0.00392161,453.06,0.00392161,460.55
1FqWGuRjM7J3Sv9T54B6ngLyDXoyBJeARC,0.00410445,465.93,0.00410445,455.96
1AnWnBXjurct9H91EYRgbpJe5QBuS12ufL,0.00415052,454.15,0.00415052,452.97
1BbmLPgrXB33WTk5XtEKBuaTkubUgRub7U,0.0039206,445.24,0.0039206,444.36
179zh38MKgcbh8GhrhWL7p472DiEZUhFgr,0.00404585,437.58,0.00404585,443.35
1MfKRgaJurbM3qmWCBU5H4CeYTvp8HDxvS,0.00417083,434.2,0.00417083,431.71
1FT737t7z42zpSzGXD1TBi5aev5ezAvyis,0.00399762,431.09,0.00399762,430.03
1LedhwJvvooVXumjqaUvpLMP6jg37qoZ5V,0.00386104,432.05,0.00386104,429.65
188LatfiSqpMpqexnLbww8FiZPEkbwdRjV,0.00362257,429.36,0.00362257,429.36
1PHg8KGRZrcUg5yL2QftkHjWoEZpNA7AM7,0.00396346,423.3,0.00396346,425.86
1QAmSM7PGcvDcy3nftg3owseEe47GvhjPr,0.00356436,411.02,0.00356436,417.63
1CC6YKG4ctPeq2vb1kSvPrZR6Jr7d5Ajbs,0.00391926,417.04,0.00391926,417.02
1Dn2g2twLbXXrnCTnNWvnqoKfxKE7WUbEY,0.00363078,408.73,0.00363078,414.41
