address,total_in,total_in_usd,total_out,total_out_usd
LagD3em9sCPQjdrXtNPXs5LRtqUmPw5wUL,307.9801584,23389.89,307.9801584,23495.88
LWBzdMxCmiGoMHhhhX3WM8xpskD6wYm4ai,141.08964717,10941.68,141.08964717,10966.93
LZPHi27evp9XuXmuYAkpCnNWs6pZERS6N2,127.04300405,9422.68,127.04300405,9486.81
LXt9EDsWuBqeKpT8KScgcwD9mE1JwRmMqV,106.19931988,8533.39,106.19931988,8556.22
LdekD55D9KbtwtbvLGdwWCcrP7j1ffBZyF,104.69957011,8120.14,104.69957011,8102.54
LapAs1fszjGyKC2mJaTTcdH594pcBCjroL,98.69644933,7044.83,98.69644933,6992.43
LPfrxD7BwtF5rC9A1wa2ePySJD1qrJinBs,88.67805559,6628.69,88.67805559,6634.33
LaCXRH9x5RfHTxAEyphD2bd55uAMEJ7tB7,82.68743102,6506.55,82.68743102,6464.77
LWxFeqvrdrpYREvAzL1S8hxnXmDbX15JrW,91.11878416,5940.65,91.11878416,5928.55
LgUcF55gKrsj5G8PbHqTWA1Yu5uPV6u29o,70.18979233,5407.73,70.18979233,5385.35
LVqGPxRo69YY9YyHvkrT8KRdLfQDXm81R5,70.262152,4979.74,70.262152,5021.04
LLSwA9PtGAvMyZa2r5ormppkJWk1wHjWFN,63.4852356,4941.11,63.4852356,4963.63
LbJ4cdY3ru62dafVBTEDRwzi6ggm92Dnu3,70.01017743,4874.91,70.01017743,4861.03
LfmrcKP9UytcJGH9EDUQ89wBjUxq31jZLE,63.84900789,4567.74,63.84900789,4580.11
LRoh84Rg3ymExLGgDxfFDAA6L1HqrVpmjk,62.11180131,4563.22,62.11180131,4565.59
Lb1REdbVvf41V8vW9n4xVQekwtASZbxM5j,59.72660458,4427.75,59.72660458,4398.3
LeGe1kLKHVEZkY3HsxMWT6okgswkEiqs7Q,62.92283155,4253.14,62.92283155,4243.04
Ld1SzvBPwceVw9mGQ8U442NxA28axkrySc,57.7889046,4122.5,57.7889046,4108.55
LNieJLazEEvcrBqS6UxQXAc9ep6LPPkNZX,57.62956343,4015.26,57.62956343,3996.96
LVcj4JikVviF3Wt5RT32kseKWCkCw7BfFh,46.67442488,3813.41,46.67442488,3916.27
LNUBxjX5Ld9QSF2R7VPJkDBJfw2EfNYwip,46.31892369,3779.61,46.31892369,3762.59
LV17Udmh2rtsKiCCXjqCVMvPBdjrCsc4ZF,57.00607352,3739.09,57.00607352,3671.76
Lcswmefux5KyMchsgNr3X2z9pERZp5ybny,49.45284515,3623.4,49.45284515,3618.8
LNUbvehNQGcW1tvZmULvDZjDJaiE499pBM,46.19843021,3462.34,46.19843021,3497.63
LfU3btjnB71EXWxXRRt6H1Nvgn9Mz4FXmc,43.2247736,3482.17,43.2247736,3470.1
LRfzq8mLBB8E3jfQ2XbUNCxDxyGKvrYLsX,48.26197438,3433.35,48.26197438,3440.54
LR8NTL5HbeWGrTcuUCSxYW9ThmbFpXm8uj,44.76446341,3359.98,44.76446341,3356.78
Lhyd1HBngysAtzX68s4qER1Zwvhgcrs6rF,41.40720295,3252.88,41.40720295,3256.77
LgjDdAXqDoVKV5aqLQHk4ZWhunAmd31QGP,43.586569,3187.0,43.586569,3207.14
LW24N8oBhJ67QUTgyDhB3gBCAnQsVDnB9L,40.30781467,3168.7,40.30781467,3160.66
LUh1gMy5PqZ6WBz5d2L8tgoYkhXhbLW5ws,39.48621036,3117.02,39.48621036,3103.96
LKzd6brhfE6SmGWXeV42DKWDjwF2ZUet7r,42.54260058,3085.87,42.54260058,3084.79
LKxNPRn4FBjZRHD25UVeB1M3rG9KLSGC2n,43.51885764,2990.92,43.51885764,3011.34
LZZPN5qpdWmcCUt1a3vvEbKZubd2HkKjEH,41.227955,2916.26,41.227955,2916.32
LNhQ5RyVQCMUVHbQCto71TbLWKb3mpRZAr,39.10344518,2842.5,39.10344518,2915.96
Lh6yvpt9qAJ6oGivcTtGcNHFMebDoAzNCx,39.562392,2847.52,39.562392,2804.92
Leq7TASpvLYiXk7cTeB8FpTpnXJ8QhU6zF,37.27754378,2781.89,37.27754378,2785.16
LbUYX1quaaJ7ffTv7aC2rdUoiBQAYtyA7h,33.52344208,2752.37,33.52344208,2754.33
LhxpCp68GUfZAFJAohKFo7WUc2SPVEjbLW,35.31212753,2757.97,35.31212753,2742.41
