address,total_in,total_in_usd,total_out,total_out_usd
LKHTuuQTsCHmkfqBktoJ5FisE5dSX16CzE,7.62707055,558.84,7.62707055,574.01
LUh4NSmPxAwtUYe7Q8fwpq5e15BwLEXz9p,6.07087028,444.81,6.07087028,456.89
LZCgy5AMCMi6m66J7u4iK13ktZoSpEfoT6,3.71006672,271.84,3.71006672,279.22
LXSk8ho3GxcNssm2KaB8VavArvTJyDuxZF,2.68684481,196.87,2.68684481,202.21
LXYu7YSgBqXAX7SXSpmyrz3ubrqNpcJVTR,2.06230806,151.11,2.06230806,155.21
LPeDd94pZYvPQuKrfEzcUn4cQiQpwfsmox,1.99915067,146.48,1.99915067,150.46
LbHAEDSpmWRVNtHM1pTYfFK8R5RSTEnwFW,1.29861468,96.17,1.29861468,97.73
LWzQKCF7h4XPPcDvAdJbDARrzmqHxDqAyk,1.221776,91.95,1.221776,91.95
LMyjnEJjDNM3gEzfwAZS4U92s9WVVBVqyP,1.04527878,77.19,1.04527878,78.67
LVfSiLZKbvvCXJdTxcNrEN8SJqBAe5jEwG,0.99947851,73.23,0.99947851,75.22
Lga1itCcPDPtZ7F4PvoaCd2TNnKsuvMxcc,0.9452436,69.81,0.9452436,71.14
Lbdig1vzshqw3N5iGwrVornKbWkFbknf29,0.83252215,61.97,0.83252215,62.66
LRRbbvZJ3B4pCam692s4CFHw1C436DuKM5,0.80522082,59.06,0.80522082,60.6
LaehkJNiEojtDbMg6V4cGqgPgUUo5Arf9F,0.77875836,57.79,0.77875836,58.61
Lcnwf53SMcU5dysqXKfcWWq4XFdeZiaG7Q,0.76403152,55.98,0.76403152,57.5
LSMgBiVeui1MpHaiKnvXJ16uV7YrySAqRP,0.75312336,55.62,0.75312336,56.68
LYqA1jGFis6uYu8onuJHUCMDUMdwLnkSMR,0.7436812,54.49,0.7436812,55.97
Le1VwTzN65r3jxQYrQgAX7LBzzwb1vfMGK,0.69816867,51.15,0.69816867,52.54
LM7siDCzhMyABTTQPFQbyoP7v6jBRKKcwg,0.69137168,50.66,0.69137168,52.03
LYbewFMcbz8Hea2gBBnYvup3E2DkrRx5nS,0.67820125,49.69,0.67820125,51.04
LYU9huFRfB34Gp8AebicwKQ6JbJiyXAk78,0.66664688,48.85,0.66664688,50.17
LPwpfA8c54ovGsUWeyzN6YRgpAQnErDq2Z,0.64467489,47.24,0.64467489,48.52
LaMkvD2tFCEb35xtAnQVtWDtSN1cYn7KZd,0.623746,45.7,0.623746,46.94
LTQKyv9NmoNXDWsxdBvRhjcxN753iE5vPJ,0.4623903,33.88,0.4623903,34.8
LPiN6gpzwdtXnWjMLAs6qTW7zeGdbtDpzb,0.44052074,32.28,0.44052074,33.15
LS5ykMVePX6gqgZPJLmsSVyT2jQFpNWsfG,0.404,30.41,0.404,30.41
LNnC5yg9v7Md9GSZdiPoGUBSbbkXeASohz,0.3974556,29.12,0.3974556,29.91
LTxvadqiKoTh4EDYRvsuxFkg9HtmRBfTsL,0.37919363,28.0,0.37919363,28.54
LSjuJGtKFCWQSp8XnYL8763qaHyGWWa86D,0.36287223,26.59,0.36287223,27.31
LgAhHbekWaKqtWgCBeCf8gb4BMjH5UYK2c,0.29863127,22.47,0.29863127,22.47
LNnroXtY9pB1HvVx8ciXCeFthu1RTxXhom,0.2745,20.11,0.2745,20.66
LcQ2StLnqZj9DstXodWhowvVt2Pgb8qeAR,0.26114877,19.13,0.26114877,19.65
La2L5rzBDCksy7GiNm2WdGaVvn4UC6sdEk,0.20641255,15.12,0.20641255,15.53
Leg2ABvu5sH9FbAUSN3gBX4fDVqcqYPFHW,0.2033508,14.9,0.2033508,15.3
LdYkBp4zTrpNmPp7WXcav9RJVoTMGw3Kp3,0.1388696,10.26,0.1388696,10.45
LR66JTutx8UbWYYZ7AqNHy8KvybJzhDagz,0.136,10.04,0.136,10.24
LcsMCk8gcR2F812beNCACDiGQygqHPtYK1,0.1315,9.64,0.1315,9.9
LRt8rtXURrwf145fXRDULebeWsobydpPsG,0,0,0.12897988,9.71
LaaE748Jk7VMzi3LbgNAXygHptmHqsfkiK,0.1185,8.68,0.1185,8.92
LiRxVwpcACrkefok8m7YQb83b57DZP9rCs,0.118,8.65,0.118,8.88
LTS4mZzTJQ7jYUWc2FhXWZCZYDmYwoDmxs,0.08138088,5.96,0.08138088,6.12
LNid7LdjcwNSMGVyPbrUwtrq9GmnYQ11jx,0.06615774,4.98,0.06615774,4.98
