date,txid,direction,counterparty,amount_ltc,amount_usd,fee_ltc,fee_usd
2024-10-04,05f1c580eac73d740296a5604b03ff29b1d10c85187fe491db9770cc2574538f,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.31841324,20.2,0.0,0.0
2024-10-04,0a9fa65fb39c4b46e5334a59ebb0e54981455a440fad0a5801769ce87e547068,in,ltc1qr3cg2f0d93e5jxd9kghd9jtw3f2weuecx63umn,0.92228126,58.52,0.0,0.0
2024-10-04,0c07843878f82c8870f041c62dbf981a5295cbac23f9b4120e74b9c9f63b7dbc,in,ltc1qflfd0w65eln73kwtf7e4n44dvya47hxaxac54g,3.67679138,233.29,0.0,0.0
2024-10-04,27f363571697b3095ea5d8314aa01171e2ac49b5bde354c4eba350bdd56f5c10,in,LTJ11vX4egSdrPEh6XzazWnkmPgdpYSpua,0.41614424,26.4,0.0,0.0
2024-10-04,371bd7ff8dd10493a01c6e9ddf9f1a3f58850e74fc06078dc778e451186e8bd0,in,LYmdXiH1u6UN2bFetfTGnNuFgEG64FWVLU,0.30598247,19.41,0.0,0.0
2024-10-04,48374d8d79bdd328d24e513e47d402ffbb6bb913195ecff4782b32ca2951ba44,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,2.29377417,145.54,0.0,0.0
2024-10-04,49e514b007bae4a3f42f35348b8a75364f47a6c138290df6b469525215a50030,in,LKxNtynH2GxLc2oLxUGL6ryckK8JMdP5BR,0.91235286,57.89,0.0,0.0
2024-10-04,4b97584ded7dc85bac0a15c225fa1efc1f61e9bc2ef94bbe24b55349b8fa9c73,in,ltc1qghxznzde77hqv6erggjhng8tdr52sd4pl7rxdp,0.29989435,19.03,0.0,0.0
2024-10-04,4da899346f28a2a5fa76cfdc9425e4cac3cdf85689b6cc36024b69341a2231d9,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.6898,43.77,0.0,0.0
2024-10-04,55682569e28fe5b4bc293897040a069aac7f60cb3b0a196d174a7a6323a3392c,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.09307619,5.91,0.0,0.0
2024-10-04,6505d99c77ae7bd9bafce07b46168c456757e16064cab5b8e9dfe014b871469f,in,LWfH7EDSKmUe4MQXcjj9TjzXMogTa5RsWS,0.40282,25.56,0.0,0.0
2024-10-04,694c26a749808f7e43665eddd75084f734a0b4f16dc256f7925bd3d1ff811aba,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.4149504,26.33,0.0,0.0
2024-10-04,6cfb04f15b6274d7df2fccb2dfff77e6c74ebb51ad21e77f8ebaf0d513155156,in,ltc1qsyxt9d772myjw2pm9ap4zmxxthlyd67xdmhpf6,2.5462764,161.56,0.0,0.0
2024-10-04,76c25eb45bd8d6453b643e937a06b14dfe0045596708c67c65fc93c68464c3cf,in,ltc1qr3cg2f0d93e5jxd9kghd9jtw3f2weuecx63umn,0.9219832,58.5,0.0,0.0
2024-10-04,79548c1ec6cf7b8ef224e5897740354556b40db8940e406990353d189440941c,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,3.5958634,228.16,0.0,0.0
2024-10-04,80c80aaf689d299da561c5c3f08575c491e9e81111b0f51e09a65f2ef45380d6,in,ltc1qrtlkvqdex8hrs3gl2zsq9mwtayjp0ry8jaxwxk,4.86553346,308.72,0.0,0.0
2024-10-04,8212f457bfb10dfb4f2107710de06f014313bb489111fa37b4d0ec2ad22a70f6,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,1.1423642,72.48,0.0,0.0
2024-10-04,98ee3200a9c95e2642c7409973774148038fefdb73d1573c373d40682ac27d36,in,ltc1qzcqah25xxpzzf2z24c7fkylhecg2nfjwkyxl6g,0.2005141,12.72,0.0,0.0
2024-10-04,a3b5224bd0f2eb02dd3c2bc1ea18b388fae69373d79ac4bde96dbd9b879ac330,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.27460503,17.42,0.0,0.0
2024-10-04,a5489daf105c33532f689efe0eadece96a22793d65adc6d489cd828fcedf1f8f,in,ltc1qrtlkvqdex8hrs3gl2zsq9mwtayjp0ry8jaxwxk,4.8526093,307.9,0.0,0.0
2024-10-04,a731ec5f4b0a6dfd2a7b2ab4bf17778bd1284455e6a641665c0ca6e19e9002a6,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.03238512,2.05,0.0,0.0
2024-10-04,ad0e31e340afd280028bd475a21fa8955950c2a16b0e582495b1ba8d8c691f17,in,ltc1qdc79kdwvawkj2vyc398yfrxnlm9ft8yqtwd3k2,0.23064157,14.63,0.0,0.0
2024-10-04,af7f6b2a3b4a2544716f72c8f172d8f5bb721e8c1549e7a33bf29c367a726855,in,ML77UzDWBHTtw8BF2wPpT2wuR8rWRktKuR,0.36444739,23.12,0.0,0.0
2024-10-04,b7b55e721fb672e605c423794d9027e9d4f93b1bc0c8fe94ec8980b0837dc6cc,in,MUEWARNdi7dFk5ZqC8GZaqLJCqXvKUhu4G,0.48383963,30.7,0.0,0.0
2024-10-04,bc1ed8d8d52731c1823605f920c26da76c6afca5f8a9833f8c8bd2f0464ef1cc,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,0.7699,48.85,0.0,0.0
2024-10-04,beb13ca41325f59938faa74e5bdf82f23c1bd219d8dd706d045901c65ab1ebf8,in,LYmdXiH1u6UN2bFetfTGnNuFgEG64FWVLU,0.30569944,19.4,0.0,0.0
2024-10-04,bfa7dee17f4520706b0e4d218b745ca63c0caa07c75ae9866103520a3088e6dd,in,LZEjckteAtWrugbsy9zU8VHEZ4iUiXo9Nm,1.19071183,75.55,0.0,0.0
2024-10-04,c01b8666743c4cc0c6d9bcea5507ceeda14089e78949ab3a68e7bddb8855f671,in,LTJ11vX4egSdrPEh6XzazWnkmPgdpYSpua,0.6467408,41.04,0.0,0.0
