=== BTC vendor destinations (valued at live rate on tx day) ===
destinations: 141, total sent: 7.39541203 BTC = $624,220.92
price source: Binance BTCUSDT daily open (UTC), live rate at tx day; unpriced transfers: 0

rank address                                              amount              USD   txs  period
   1 bc1q5e89j7wu8ts7mk0dvrq7dpkgtv757x8794lach         0.18054436        12,354.29     1  2024-10-19 .. 2024-10-19
   2 bc1qzyc8d4585dpun2ycteu9r0zmpvdketkqvp7rc8         0.19490345        11,818.17     1  2024-10-10 .. 2024-10-10
   3 bc1q7gjq6lstjn5dsxxh87wl36xwn2wsvm4xp9z0ku         0.16103586        10,740.82     1  2024-10-26 .. 2024-10-26
   4 bc1qc9s9w5v59hhf977ch559mzvev79a5spdpf29hl         0.12983976        10,731.07     1  2025-03-30 .. 2025-03-30
   5 bc1qrwf6zcgnpc7vjpkyj9agam238k9qqg07xq3xh4         0.15300517        10,316.53     1  2024-10-23 .. 2024-10-23
   6 bc1q44kvhhalp3yfvpny7l7jd8yrz8aghkywdgxqmu         0.11568080         9,841.78     1  2025-04-20 .. 2025-04-20
   7 bc1qj0cvhhcm7nu82z86u97fky2ajv7wekuama8z87         0.09012951         8,640.10     1  2024-11-28 .. 2024-11-28
   8 bc1qlyu73uuhfmkwup7y9j6ckfhj0xj7necryyzqfs         0.09781666         8,250.83     1  2025-03-01 .. 2025-03-01
   9 bc1qmc6g7x0td9sla69haekdczy4m66jgxr3syr974         0.08946350         8,093.23     1  2024-11-19 .. 2024-11-19
  10 bc1q3kkt7zvdp2uszkx3xx95m7qhmagtq03sjz6ytd         0.07579002         7,888.03     1  2025-01-18 .. 2025-01-18
  11 bc1qk4fhq78wc58g6wtkk4wg6tg0dvszya8grdjdkk         0.07892018         7,751.58     1  2025-01-05 .. 2025-01-05
  12 bc1qaal4lwh4jq0l3ectkukldvz0ee54rnwssdfg46         0.07424944         7,645.61     1  2025-05-10 .. 2025-05-10
  13 bc1qkmpg3svey779zzx8k4udvf83j5gh3tp0pdgkhk         0.07625104         7,625.43     1  2024-12-13 .. 2024-12-13
  14 bc1q220uuealwzusv3k2f525d7a90rud3em2pvy8ry         0.11047572         7,300.68     1  2024-10-15 .. 2024-10-15
  15 bc1qp2dsrjs02jchzxqlk9whxq4mm20ttv5j4dr4qy         0.07420285         7,219.34     1  2024-12-22 .. 2024-12-22
  16 bc1qhdqlstp0kyvkn9n5w5j0emunj24ydkxrcnu5wg         0.11556767         7,175.13     1  2024-10-05 .. 2024-10-05
  17 bc1qeck0ra06550vp2m6ntx0vade6ucn2ma2eemqtv         0.11404625         7,089.17     1  2024-10-09 .. 2024-10-09
  18 bc1qmfu960z2vqu9myjeed59nhl0qc4qld85glsw5j         0.07333878         7,024.39     1  2025-02-18 .. 2025-02-18
  19 bc1q2ymln5pl5hheqy4x9lmvdsnye2h6um9neuxvvv         0.07473661         7,023.78     1  2025-04-25 .. 2025-04-25
  20 bc1qpd6jcuer84vu8ldna35z8vcerz48trems5f2m2         0.07219165         6,974.30     1  2025-02-14 .. 2025-02-14
  21 bc1qpm7da6davdu8ht23xr4add8gn2sns9p38s7za6         0.07296854         6,898.16     1  2025-01-14 .. 2025-01-14
  22 bc1qyg4463hz9hu0dt8htrgthqxnxmeqfmu4elnp2s         0.07075560         6,893.78     1  2025-02-11 .. 2025-02-11
  23 bc1qr25wfjju99ptmm5s9lmw972yw7tv759706prvz         0.07134430         6,878.16     1  2024-12-01 .. 2024-12-01
  24 bc1q89lwjmnf4rkcs75angdh6kft87cdgmpty76mw4         0.07831558         6,853.88     1  2025-04-22 .. 2025-04-22
