coin,date_utc,destination,amount,usd_value
BTC,2024-10-05,bc1qhdqlstp0kyvkn9n5w5j0emunj24ydkxrcnu5wg,0.11556767,7175.13
BTC,2024-10-06,bc1qq6nvndw6zh70nc3whu6nxjj4lt24zauwjn4jet,0.02168184,1345.53
BTC,2024-10-07,bc1qwgs0jp5z0e6t9g3em7knhvjhf8ng90rkycy887,0.08339087,5238.61
BTC,2024-10-07,bc1qvum28rjyx3tss9n7nzdypwlcthe6hj7jfx5vaw,0.05984064,3759.18
BTC,2024-10-09,bc1qeck0ra06550vp2m6ntx0vade6ucn2ma2eemqtv,0.11404625,7089.17
BTC,2024-10-10,bc1qzyc8d4585dpun2ycteu9r0zmpvdketkqvp7rc8,0.19490345,11818.17
BTC,2024-10-12,bc1q6x7f9yqrdrxxwlj7cyrwaqcdx76m0ryw5eya4e,0.05689385,3558.14
BTC,2024-10-13,bc1qzdhpz3wtshlx6q5uhrttlx4epsxj27277vnqfa,0.08385446,5300.12
BTC,2024-10-13,bc1q7afw4snpl85mrpq2p93phth9wyevpu027cz5y8,0.08411515,5316.60
BTC,2024-10-15,bc1q220uuealwzusv3k2f525d7a90rud3em2pvy8ry,0.11047572,7300.68
BTC,2024-10-15,bc1q36pdl4wnledm7h8eqtvgjuppmdw42s4s2nh0u0,0.04200487,2775.85
BTC,2024-10-15,bc1q9gjmyteulqp3dsc04pmsmf5uu939alx0vq7nkn,0.07044208,4655.09
BTC,2024-10-16,bc1q873a2z5r20k4gqgwvw8ns6780k8d3mduacvagg,0.04140657,2777.31
BTC,2024-10-19,bc1q5e89j7wu8ts7mk0dvrq7dpkgtv757x8794lach,0.18054436,12354.29
BTC,2024-10-19,bc1qd6pq3gjusn6wctjgleq64w9agujctznlzh4wrv,0.03785440,2590.30
BTC,2024-10-20,bc1q7fhwpgvlp8yvng6rj6kesdvgdlvhed5jau2yxv,0.05994840,4099.15
BTC,2024-10-23,bc1qrwf6zcgnpc7vjpkyj9agam238k9qqg07xq3xh4,0.15300517,10316.53
BTC,2024-10-23,bc1qr9rvw4q3ty20889829hyewrl3mukquwysyt5nc,0.05638845,3802.05
